time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008000,-0.0927,-0.0758,-0.2534,0.280
0.009000,-0.1402,-0.0648,-0.2871,0.326
0.009000,-0.1603,-0.0591,-0.3156,0.359
0.012000,-0.1534,-0.0517,-0.3959,0.428
0.017000,-0.1625,-0.0636,-0.4233,0.458
0.022000,-0.1426,-0.0473,-0.4481,0.473
0.028000,-0.1300,-0.0367,-0.4868,0.505
0.033000,-0.0918,-0.0058,-0.5300,0.538
0.037000,-0.0469,0.0216,-0.5302,0.533
0.043000,0.0617,0.0381,-0.4829,0.488
0.048000,0.1482,0.0319,-0.4359,0.462
0.053000,0.2433,0.0311,-0.4250,0.491
0.058000,0.2900,0.0310,-0.3952,0.491
0.064000,0.3409,0.0479,-0.3703,0.506
0.068000,0.3271,0.0600,-0.3434,0.478
0.074000,0.2915,0.0505,-0.2930,0.416
0.078000,0.2230,0.0479,-0.2311,0.325
0.083000,0.1052,0.0403,-0.1270,0.170
0.088000,-0.0021,0.0299,-0.0689,0.075
0.093000,-0.0730,0.0546,-0.0493,0.104
0.098000,-0.0793,0.0643,-0.0536,0.115
0.103000,-0.0755,0.0617,-0.0649,0.117
0.110000,-0.0522,0.0305,-0.0641,0.088
0.116000,-0.0072,-0.0316,-0.0681,0.075
0.118000,0.0281,-0.0858,-0.1005,0.135
0.124000,0.0180,-0.1130,-0.1445,0.184
0.128000,0.0361,-0.1135,-0.1906,0.225
0.133000,-0.0007,-0.1015,-0.1911,0.216
0.138000,-0.0494,-0.0606,-0.2012,0.216
0.143000,-0.0738,-0.0478,-0.1352,0.161
0.149000,-0.0768,-0.0274,-0.0674,0.106
0.154000,-0.0779,0.0170,-0.0074,0.080
0.158000,-0.0724,0.0472,0.0142,0.088
0.164000,-0.0366,0.0679,0.0402,0.087
0.168000,0.0060,0.0886,0.0826,0.121
0.174000,0.0196,0.0546,0.1437,0.155
0.179000,0.0117,0.0611,0.1805,0.191
0.184000,0.0136,0.0697,0.2099,0.222
0.188000,0.0083,0.0686,0.2272,0.237
0.194000,-0.0063,0.0433,0.2491,0.253
0.199000,-0.0393,0.0130,0.2495,0.253
0.204000,-0.0717,-0.0058,0.2452,0.256
0.215000,-0.0842,-0.0343,0.2434,0.260
0.216000,-0.0937,-0.0464,0.2227,0.246
0.219000,-0.0929,-0.0302,0.1618,0.189
0.225000,-0.0649,-0.0097,0.1040,0.123
0.229000,-0.0057,0.0104,0.0634,0.065
0.234000,-0.0060,0.0303,0.0421,0.052
0.239000,0.0296,-0.0045,0.0520,0.060
0.245000,0.0600,-0.0272,0.0308,0.073
0.249000,0.1085,-0.0471,0.0003,0.118
0.255000,0.1157,-0.0148,-0.0016,0.117
0.260000,0.1250,-0.0113,0.0274,0.128
0.265000,0.1147,0.0204,0.0323,0.121
0.270000,0.0988,0.0660,0.0347,0.124
0.276000,0.0754,0.0870,0.0655,0.132
0.280000,0.0662,0.0861,0.1411,0.178
0.285000,0.0353,0.0703,0.1685,0.186
0.290000,-0.0051,0.0731,0.1909,0.204
0.298000,-0.0263,0.0394,0.1822,0.188
0.300000,-0.0310,0.0055,0.1783,0.181
0.306000,-0.0287,-0.0193,0.1649,0.168
0.310000,-0.0312,-0.0206,0.1492,0.154
0.316000,0.0093,-0.0059,0.1431,0.144
0.320000,0.0022,0.0036,0.1585,0.159
0.325000,0.0142,-0.0085,0.1500,0.151
0.330000,0.0449,-0.0111,0.1155,0.124
0.335000,0.0990,0.0173,0.0551,0.115
0.341000,0.1858,0.0579,0.0166,0.195
0.346000,0.2053,0.0653,-0.0311,0.218
0.350000,0.1912,0.0778,-0.0405,0.210
0.356000,0.1703,0.0788,0.0049,0.188
0.361000,0.1330,0.0825,0.0239,0.158
0.366000,0.1152,0.1056,0.0308,0.159
0.370000,0.0932,0.0739,0.0400,0.125
0.376000,0.0339,0.0568,0.0517,0.084
0.380000,-0.0222,0.0233,0.0657,0.073
0.386000,-0.0443,-0.0175,0.0653,0.081
0.394000,-0.0991,-0.0532,0.0769,0.136
0.398000,-0.1007,-0.0698,0.0504,0.132
0.401000,-0.0642,-0.0793,0.0289,0.106
0.406000,-0.0136,-0.1200,0.0053,0.121
0.411000,0.0057,-0.1082,-0.0040,0.108
0.416000,0.0248,-0.0944,-0.0202,0.100
0.421000,-0.0014,-0.0853,-0.0174,0.087
0.426000,-0.0226,-0.0525,-0.0478,0.075
0.432000,-0.0388,-0.0508,-0.0566,0.085
0.437000,-0.0930,-0.0419,-0.0653,0.121
0.442000,-0.1394,-0.0471,-0.0288,0.150
0.446000,-0.1967,-0.0354,0.0146,0.200
0.452000,-0.2104,-0.0357,0.0601,0.222
0.457000,-0.1876,-0.0527,0.0673,0.206
0.462000,-0.1671,-0.0765,0.0982,0.208
0.467000,-0.1085,-0.0693,0.0696,0.146
0.472000,-0.0338,-0.0550,0.0388,0.075
0.477000,0.0403,-0.0314,0.0249,0.057
0.483000,0.1348,-0.0293,-0.0079,0.138
0.488000,0.1851,-0.0391,-0.0358,0.193
0.497000,0.1917,-0.0251,-0.0659,0.204
0.498000,0.1996,-0.0140,-0.0769,0.214
0.503000,0.1615,0.0066,-0.0879,0.184
0.508000,0.0918,0.0076,-0.0658,0.113
0.514000,-0.0092,-0.0152,-0.0321,0.037
0.517000,-0.1125,-0.0334,0.0273,0.120
0.522000,-0.1535,-0.0303,0.1075,0.190
0.528000,-0.1725,-0.0322,0.1420,0.226
0.533000,-0.1600,-0.0126,0.1549,0.223
0.538000,-0.0928,-0.0098,0.1583,0.184
0.542000,-0.0256,-0.0094,0.1783,0.180
0.548000,0.0274,-0.0018,0.1673,0.170
0.554000,0.0804,0.0276,0.1495,0.172
0.558000,0.1073,0.0283,0.0866,0.141
0.564000,0.1224,0.0528,0.0790,0.155
0.568000,0.1212,0.0321,0.0549,0.137
0.574000,0.1064,0.0329,0.0168,0.113
0.579000,0.0944,0.0290,-0.0185,0.100
0.583000,0.0753,0.0156,-0.0820,0.112
0.588000,0.0274,0.0001,-0.1214,0.124
0.596000,0.0128,0.0083,-0.1272,0.128
0.602000,-0.0323,-0.0215,-0.0973,0.105
0.603000,-0.0745,-0.0273,-0.0582,0.098
0.613000,-0.0956,-0.0283,-0.0598,0.116
0.614000,-0.1124,0.0111,-0.1018,0.152
0.618000,-0.0851,0.0099,-0.1128,0.142
0.623000,-0.0824,0.0252,-0.0645,0.108
0.629000,-0.0280,0.0310,-0.0119,0.043
0.635000,0.0378,0.0082,0.0641,0.075
0.638000,0.1152,0.0189,0.1085,0.159
0.643000,0.1587,0.0203,0.1075,0.193
0.649000,0.1470,0.0383,0.0756,0.170
0.654000,0.0924,0.0536,0.0511,0.118
0.660000,0.0311,0.0071,0.0291,0.043
0.664000,-0.0411,-0.0083,0.0169,0.045
0.669000,-0.0861,-0.0427,0.0285,0.100
0.677000,-0.1092,-0.0601,-0.0287,0.128
0.679000,-0.1511,-0.0683,-0.0807,0.184
0.685000,-0.1690,-0.0597,-0.1252,0.219
0.689000,-0.1560,-0.0440,-0.1575,0.226
0.694000,-0.1670,-0.0615,-0.1515,0.234
0.699000,-0.1373,-0.0573,-0.1265,0.195
0.704000,-0.1103,-0.0269,-0.1160,0.162
0.717000,-0.1286,0.0011,-0.1151,0.173
0.718000,-0.1397,0.0458,-0.0857,0.170
