time,gFx,gFy,gFz,TgF
0.022000,-0.0864,0.0801,0.9972,1.004
0.023000,-0.0825,0.0869,1.0051,1.012
0.024000,-0.0835,0.0879,1.0158,1.023
0.024000,-0.0776,0.0879,1.0236,1.030
0.025000,-0.0767,0.0937,1.0285,1.036
0.025000,-0.0757,0.0898,1.0324,1.039
0.025000,-0.0679,0.0888,1.0392,1.045
0.026000,-0.0640,0.0869,1.0422,1.048
0.026000,-0.0581,0.0820,1.0431,1.048
0.026000,-0.0542,0.0801,1.0412,1.046
0.027000,-0.0532,0.0781,1.0461,1.050
0.027000,-0.0483,0.0752,1.0392,1.043
0.027000,-0.0474,0.0732,1.0461,1.050
0.028000,-0.0395,0.0722,1.0441,1.047
0.028000,-0.0376,0.0674,1.0431,1.046
0.028000,-0.0376,0.0703,1.0431,1.046
0.028000,-0.0356,0.0703,1.0412,1.044
0.029000,-0.0386,0.0683,1.0383,1.041
0.029000,-0.0386,0.0752,1.0363,1.040
0.029000,-0.0347,0.0761,1.0344,1.038
0.029000,-0.0395,0.0820,1.0324,1.036
0.030000,-0.0405,0.0801,1.0305,1.034
0.030000,-0.0474,0.0801,1.0207,1.025
0.030000,-0.0503,0.0840,1.0236,1.028
0.031000,-0.0561,0.0820,1.0178,1.023
0.036000,-0.0620,0.0840,1.0109,1.016
0.037000,-0.0659,0.0830,1.0041,1.010
0.038000,-0.0708,0.0849,1.0012,1.007
0.044000,-0.0728,0.0830,0.9972,1.003
0.044000,-0.0776,0.0849,0.9953,1.002
0.045000,-0.0767,0.0849,0.9894,0.996
0.047000,-0.0786,0.0849,0.9855,0.992
0.063000,-0.0776,0.0908,0.9797,0.987
0.063000,-0.0776,0.0859,0.9758,0.983
0.064000,-0.0815,0.0918,0.9748,0.982
0.064000,-0.0796,0.0957,0.9689,0.977
0.064000,-0.0796,0.0986,0.9689,0.977
0.065000,-0.0796,0.0947,0.9670,0.975
0.066000,-0.0737,0.0947,0.9631,0.971
