time,gFx,gFy,gFz,TgF
0.003000,-0.1265,0.0146,1.0256,1.033
0.004000,-0.1294,0.0136,1.0314,1.040
0.004000,-0.1284,0.0078,1.0334,1.041
0.004000,-0.1294,0.0107,1.0314,1.040
0.005000,-0.1265,0.0117,1.0305,1.038
0.006000,-0.1206,0.0146,1.0314,1.039
0.010000,-0.1177,0.0146,1.0344,1.041
0.011000,-0.1128,0.0185,1.0344,1.041
0.014000,-0.1118,0.0263,1.0412,1.048
0.016000,-0.1157,0.0302,1.0451,1.052
0.018000,-0.1216,0.0361,1.0412,1.049
0.021000,-0.1245,0.0361,1.0285,1.037
0.023000,-0.1304,0.0342,1.0207,1.030
0.033000,-0.1392,0.0293,1.0012,1.011
0.033000,-0.1450,0.0166,0.9875,0.998
0.034000,-0.1548,0.0127,0.9738,0.986
0.034000,-0.1587,0.0049,0.9621,0.975
0.036000,-0.1548,-0.0020,0.9552,0.968
0.038000,-0.1509,-0.0030,0.9572,0.969
0.042000,-0.1411,0.0029,0.9582,0.969
0.044000,-0.1323,0.0107,0.9631,0.972
0.046000,-0.1284,0.0175,0.9679,0.977
0.048000,-0.1196,0.0224,0.9728,0.980
0.051000,-0.1196,0.0244,0.9797,0.987
0.053000,-0.1206,0.0293,0.9894,0.997
0.056000,-0.1196,0.0234,0.9885,0.996
0.060000,-0.1226,0.0215,0.9953,1.003
0.062000,-0.1255,0.0156,0.9992,1.007
0.063000,-0.1294,0.0146,1.0051,1.013
0.066000,-0.1323,0.0146,1.0051,1.014
0.068000,-0.1333,0.0146,1.0080,1.017
0.071000,-0.1353,0.0195,1.0099,1.019
0.073000,-0.1382,0.0224,1.0148,1.024
0.076000,-0.1372,0.0263,1.0129,1.022
0.079000,-0.1421,0.0273,1.0090,1.019
0.081000,-0.1411,0.0273,1.0129,1.023
0.083000,-0.1401,0.0244,1.0148,1.025
0.086000,-0.1401,0.0234,1.0138,1.024
0.088000,-0.1372,0.0224,1.0138,1.023
0.092000,-0.1382,0.0215,1.0119,1.022
0.094000,-0.1382,0.0175,1.0070,1.017
0.096000,-0.1362,0.0205,0.9992,1.009
0.098000,-0.1343,0.0224,0.9953,1.005
0.101000,-0.1353,0.0215,0.9924,1.002
0.103000,-0.1323,0.0254,0.9904,1.000
0.106000,-0.1343,0.0283,0.9933,1.003
0.109000,-0.1362,0.0244,0.9972,1.007
0.111000,-0.1353,0.0273,0.9963,1.006
0.113000,-0.1362,0.0224,1.0002,1.010
0.116000,-0.1343,0.0215,1.0041,1.013
0.118000,-0.1362,0.0234,1.0080,1.017
0.121000,-0.1353,0.0215,1.0031,1.012
0.123000,-0.1353,0.0234,1.0051,1.014
0.126000,-0.1372,0.0215,1.0021,1.012
0.128000,-0.1343,0.0244,0.9992,1.008
0.131000,-0.1333,0.0263,1.0002,1.009
0.133000,-0.1333,0.0273,1.0012,1.010
0.136000,-0.1323,0.0293,1.0021,1.011
0.138000,-0.1333,0.0322,1.0021,1.011
0.142000,-0.1362,0.0302,1.0041,1.014
0.143000,-0.1362,0.0342,1.0051,1.015
0.146000,-0.1372,0.0390,1.0041,1.014
0.148000,-0.1411,0.0439,1.0041,1.015
0.153000,-0.1421,0.0439,1.0060,1.017
0.155000,-0.1401,0.0371,1.0060,1.016
0.161000,-0.1450,0.0342,1.0041,1.015
0.161000,-0.1440,0.0312,1.0070,1.018
0.163000,-0.1450,0.0273,1.0012,1.012
0.166000,-0.1431,0.0273,1.0060,1.017
0.168000,-0.1411,0.0283,1.0051,1.015
0.170000,-0.1382,0.0234,0.9992,1.009
0.173000,-0.1382,0.0234,0.9953,1.005
0.178000,-0.1372,0.0254,0.9904,1.000
0.179000,-0.1440,0.0263,0.9914,1.002
0.180000,-0.1411,0.0234,0.9904,1.001
0.182000,-0.1421,0.0283,0.9875,0.998
0.185000,-0.1392,0.0293,0.9904,1.001
0.188000,-0.1392,0.0332,0.9914,1.002
0.192000,-0.1392,0.0312,0.9972,1.007
0.195000,-0.1372,0.0302,0.9982,1.008
0.196000,-0.1382,0.0293,0.9953,1.005
0.198000,-0.1372,0.0254,0.9972,1.007
0.200000,-0.1372,0.0254,0.9972,1.007
0.203000,-0.1343,0.0244,0.9943,1.004
0.206000,-0.1362,0.0215,0.9953,1.005
0.217000,-0.1323,0.0215,0.9943,1.003
0.218000,-0.1343,0.0185,0.9924,1.002
0.218000,-0.1294,0.0175,0.9933,1.002
0.218000,-0.1284,0.0195,0.9924,1.001
0.218000,-0.1265,0.0205,0.9924,1.001
0.220000,-0.1235,0.0244,0.9943,1.002
0.222000,-0.1216,0.0244,0.9963,1.004
0.226000,-0.1196,0.0244,0.9953,1.003
0.229000,-0.1245,0.0234,1.0021,1.010
0.230000,-0.1294,0.0254,1.0021,1.011
0.233000,-0.1314,0.0234,1.0060,1.015
0.235000,-0.1362,0.0224,1.0090,1.018
0.238000,-0.1372,0.0234,1.0129,1.022
0.241000,-0.1382,0.0263,1.0119,1.022
0.244000,-0.1431,0.0293,1.0119,1.022
0.246000,-0.1421,0.0312,1.0138,1.024
0.248000,-0.1470,0.0312,1.0119,1.023
0.250000,-0.1431,0.0342,1.0168,1.027
0.252000,-0.1460,0.0332,1.0187,1.030
0.255000,-0.1489,0.0351,1.0187,1.030
0.258000,-0.1597,0.0361,1.0226,1.036
0.260000,-0.1616,0.0342,1.0207,1.034
0.262000,-0.1636,0.0361,1.0187,1.032
0.265000,-0.1626,0.0351,1.0168,1.030
0.268000,-0.1597,0.0371,1.0197,1.033
0.270000,-0.1577,0.0351,1.0207,1.033
0.273000,-0.1499,0.0371,1.0148,1.027
0.276000,-0.1489,0.0371,1.0158,1.027
0.279000,-0.1440,0.0410,1.0148,1.026
0.280000,-0.1392,0.0400,1.0119,1.022
0.282000,-0.1401,0.0390,1.0158,1.026
0.284000,-0.1382,0.0381,1.0080,1.018
0.288000,-0.1382,0.0390,1.0060,1.016
0.290000,-0.1333,0.0400,1.0031,1.013
0.294000,-0.1353,0.0420,0.9992,1.009
0.295000,-0.1294,0.0410,0.9943,1.004
0.297000,-0.1265,0.0420,0.9943,1.003
0.300000,-0.1216,0.0410,0.9894,0.998
0.302000,-0.1226,0.0429,0.9875,0.996
0.305000,-0.1216,0.0361,0.9855,0.994
0.308000,-0.1245,0.0342,0.9904,0.999
0.311000,-0.1235,0.0273,0.9875,0.996
0.312000,-0.1196,0.0254,0.9885,0.996
0.315000,-0.1196,0.0244,0.9875,0.995
0.318000,-0.1206,0.0254,0.9914,0.999
0.320000,-0.1196,0.0283,0.9904,0.998
0.323000,-0.1206,0.0263,0.9943,1.002
0.325000,-0.1265,0.0273,0.9924,1.001
0.327000,-0.1294,0.0322,0.9943,1.003
0.329000,-0.1333,0.0283,0.9972,1.007
0.333000,-0.1343,0.0302,0.9953,1.005
0.334000,-0.1353,0.0312,0.9963,1.006
0.338000,-0.1401,0.0332,0.9982,1.009
0.340000,-0.1411,0.0302,0.9972,1.008
0.345000,-0.1450,0.0332,0.9982,1.009
0.346000,-0.1470,0.0371,0.9972,1.009
0.347000,-0.1489,0.0361,1.0002,1.012
0.349000,-0.1470,0.0332,1.0012,1.012
0.353000,-0.1460,0.0351,1.0021,1.013
0.355000,-0.1470,0.0361,1.0051,1.016
0.357000,-0.1421,0.0351,1.0041,1.015
0.360000,-0.1401,0.0361,1.0021,1.013
0.362000,-0.1372,0.0351,0.9982,1.008
0.364000,-0.1333,0.0400,0.9963,1.006
0.367000,-0.1353,0.0400,0.9963,1.006
0.369000,-0.1314,0.0390,0.9972,1.007
0.373000,-0.1304,0.0429,0.9963,1.006
0.376000,-0.1284,0.0371,0.9953,1.004
0.378000,-0.1304,0.0390,0.9972,1.006
0.380000,-0.1323,0.0371,0.9982,1.008
0.382000,-0.1362,0.0381,0.9992,1.009
0.384000,-0.1362,0.0400,0.9992,1.009
0.387000,-0.1343,0.0381,1.0002,1.010
0.390000,-0.1382,0.0400,1.0002,1.010
0.393000,-0.1382,0.0429,0.9963,1.007
0.395000,-0.1440,0.0410,0.9982,1.009
