time,gFx,gFy,gFz,TgF
0.009000,-0.1323,0.0312,0.9845,0.994
0.010000,-0.1343,0.0263,0.9855,0.995
0.012000,-0.1343,0.0244,0.9875,0.997
0.013000,-0.1382,0.0205,0.9885,0.998
0.014000,-0.1353,0.0215,0.9914,1.001
0.014000,-0.1411,0.0175,0.9963,1.006
0.015000,-0.1382,0.0175,1.0090,1.019
0.016000,-0.1353,0.0195,1.0178,1.027
0.018000,-0.1353,0.0175,1.0275,1.037
0.019000,-0.1284,0.0205,1.0314,1.040
0.020000,-0.1314,0.0254,1.0461,1.055
0.021000,-0.1314,0.0263,1.0500,1.058
0.022000,-0.1284,0.0302,1.0529,1.061
0.023000,-0.1333,0.0361,1.0558,1.065
0.025000,-0.1304,0.0381,1.0588,1.067
0.026000,-0.1274,0.0400,1.0529,1.061
0.027000,-0.1245,0.0371,1.0471,1.055
0.030000,-0.1274,0.0351,1.0373,1.046
0.047000,-0.1294,0.0332,1.0285,1.037
0.048000,-0.1333,0.0283,1.0148,1.024
0.048000,-0.1382,0.0234,1.0060,1.016
0.049000,-0.1431,0.0234,0.9953,1.006
0.050000,-0.1519,0.0234,0.9894,1.001
0.051000,-0.1558,0.0215,0.9836,0.996
0.052000,-0.1597,0.0263,0.9777,0.991
0.054000,-0.1587,0.0254,0.9709,0.984
0.055000,-0.1597,0.0283,0.9699,0.983
0.055000,-0.1567,0.0283,0.9670,0.980
0.057000,-0.1489,0.0302,0.9689,0.981
0.063000,-0.1480,0.0293,0.9689,0.981
0.064000,-0.1411,0.0263,0.9738,0.984
0.064000,-0.1392,0.0263,0.9748,0.985
0.067000,-0.1323,0.0283,0.9689,0.978
0.070000,-0.1284,0.0263,0.9728,0.982
0.073000,-0.1314,0.0283,0.9777,0.987
0.074000,-0.1255,0.0302,0.9797,0.988
0.076000,-0.1265,0.0322,0.9855,0.994
0.079000,-0.1255,0.0332,0.9914,1.000
0.081000,-0.1206,0.0371,0.9972,1.005
0.084000,-0.1206,0.0390,1.0031,1.011
0.088000,-0.1187,0.0429,1.0138,1.022
0.089000,-0.1138,0.0439,1.0148,1.022
0.091000,-0.1157,0.0420,1.0178,1.025
0.094000,-0.1187,0.0410,1.0236,1.031
0.097000,-0.1216,0.0410,1.0226,1.031
0.100000,-0.1265,0.0439,1.0246,1.033
0.102000,-0.1353,0.0381,1.0187,1.028
0.104000,-0.1343,0.0342,1.0207,1.030
0.107000,-0.1382,0.0312,1.0187,1.029
0.109000,-0.1382,0.0283,1.0138,1.024
0.112000,-0.1460,0.0263,1.0187,1.029
0.114000,-0.1470,0.0283,1.0178,1.029
0.117000,-0.1440,0.0254,1.0197,1.030
0.119000,-0.1431,0.0244,1.0168,1.027
0.122000,-0.1431,0.0302,1.0197,1.030
0.124000,-0.1411,0.0283,1.0158,1.026
0.126000,-0.1421,0.0302,1.0158,1.026
0.129000,-0.1401,0.0312,1.0119,1.022
0.132000,-0.1372,0.0322,1.0090,1.019
0.134000,-0.1372,0.0312,1.0002,1.010
0.136000,-0.1353,0.0312,1.0012,1.011
0.139000,-0.1343,0.0322,0.9982,1.008
0.143000,-0.1362,0.0293,0.9953,1.005
0.144000,-0.1323,0.0322,0.9924,1.002
0.146000,-0.1353,0.0322,0.9914,1.001
0.149000,-0.1401,0.0312,0.9904,1.001
0.152000,-0.1392,0.0302,0.9914,1.002
0.154000,-0.1431,0.0342,0.9972,1.008
0.156000,-0.1372,0.0322,0.9982,1.008
0.159000,-0.1392,0.0312,0.9943,1.004
0.162000,-0.1362,0.0351,0.9953,1.005
0.164000,-0.1372,0.0342,0.9933,1.003
0.167000,-0.1401,0.0332,0.9924,1.003
0.169000,-0.1382,0.0342,0.9933,1.003
0.172000,-0.1401,0.0351,0.9943,1.005
0.174000,-0.1372,0.0302,0.9972,1.007
0.177000,-0.1353,0.0302,0.9972,1.007
0.179000,-0.1372,0.0312,1.0002,1.010
0.182000,-0.1333,0.0312,1.0099,1.019
0.184000,-0.1314,0.0312,1.0148,1.024
0.188000,-0.1284,0.0283,1.0148,1.023
0.189000,-0.1255,0.0293,1.0119,1.020
0.192000,-0.1284,0.0332,1.0168,1.025
0.194000,-0.1274,0.0351,1.0207,1.029
0.197000,-0.1265,0.0342,1.0197,1.028
0.211000,-0.1265,0.0371,1.0217,1.030
0.212000,-0.1265,0.0390,1.0197,1.028
0.212000,-0.1235,0.0361,1.0197,1.028
0.213000,-0.1235,0.0459,1.0187,1.027
0.213000,-0.1196,0.0410,1.0197,1.028
0.213000,-0.1177,0.0429,1.0178,1.025
0.214000,-0.1167,0.0410,1.0168,1.024
0.217000,-0.1167,0.0410,1.0148,1.022
0.219000,-0.1206,0.0410,1.0080,1.016
0.221000,-0.1216,0.0429,1.0031,1.011
0.226000,-0.1226,0.0439,1.0002,1.009
0.227000,-0.1235,0.0429,0.9963,1.005
0.229000,-0.1226,0.0400,0.9924,1.001
0.231000,-0.1206,0.0439,0.9865,0.995
0.236000,-0.1226,0.0449,0.9885,0.997
0.237000,-0.1245,0.0459,0.9836,0.992
0.239000,-0.1245,0.0449,0.9816,0.991
0.242000,-0.1274,0.0488,0.9787,0.988
0.244000,-0.1304,0.0508,0.9826,0.993
0.246000,-0.1304,0.0508,0.9826,0.993
0.249000,-0.1333,0.0498,0.9865,0.997
0.252000,-0.1304,0.0517,0.9885,0.998
0.254000,-0.1304,0.0498,0.9885,0.998
0.256000,-0.1265,0.0498,0.9904,1.000
0.259000,-0.1245,0.0527,0.9914,1.001
0.262000,-0.1187,0.0488,0.9836,0.992
0.265000,-0.1157,0.0488,0.9885,0.996
0.268000,-0.1157,0.0508,0.9914,0.999
0.270000,-0.1138,0.0459,0.9845,0.992
0.271000,-0.1167,0.0517,0.9875,0.996
0.274000,-0.1177,0.0517,0.9855,0.994
0.276000,-0.1177,0.0527,0.9826,0.991
0.279000,-0.1216,0.0488,0.9855,0.994
0.281000,-0.1255,0.0508,0.9845,0.994
0.286000,-0.1265,0.0508,0.9836,0.993
0.287000,-0.1284,0.0527,0.9836,0.993
0.289000,-0.1274,0.0508,0.9875,0.997
0.297000,-0.1284,0.0527,0.9885,0.998
0.297000,-0.1314,0.0508,0.9885,0.998
0.298000,-0.1362,0.0498,0.9885,0.999
0.299000,-0.1362,0.0488,0.9875,0.998
0.304000,-0.1372,0.0527,0.9865,0.997
0.304000,-0.1382,0.0488,0.9885,0.999
0.307000,-0.1411,0.0508,0.9875,0.999
0.309000,-0.1392,0.0517,0.9855,0.997
0.311000,-0.1401,0.0547,0.9845,0.996
0.314000,-0.1411,0.0517,0.9885,1.000
0.316000,-0.1421,0.0566,0.9924,1.004
0.320000,-0.1421,0.0576,0.9953,1.007
0.321000,-0.1431,0.0566,0.9982,1.010
0.324000,-0.1411,0.0605,0.9972,1.009
0.327000,-0.1372,0.0625,1.0051,1.016
0.329000,-0.1333,0.0625,1.0021,1.013
0.331000,-0.1304,0.0615,1.0021,1.012
0.334000,-0.1274,0.0615,1.0070,1.017
0.337000,-0.1294,0.0605,1.0080,1.018
0.339000,-0.1294,0.0605,1.0060,1.016
0.341000,-0.1274,0.0605,1.0080,1.018
0.343000,-0.1294,0.0615,1.0090,1.019
0.347000,-0.1314,0.0595,1.0070,1.017
0.349000,-0.1304,0.0615,0.9992,1.010
0.364000,-0.1304,0.0664,0.9982,1.009
0.366000,-0.1323,0.0693,0.9914,1.003
0.366000,-0.1294,0.0654,0.9904,1.001
0.367000,-0.1294,0.0654,0.9924,1.003
0.368000,-0.1314,0.0674,0.9904,1.001
0.369000,-0.1265,0.0644,0.9924,1.002
0.370000,-0.1265,0.0654,0.9953,1.005
0.371000,-0.1265,0.0625,0.9933,1.003
0.384000,-0.1255,0.0605,0.9914,1.001
0.386000,-0.1255,0.0605,0.9933,1.003
0.387000,-0.1274,0.0615,0.9943,1.004
0.387000,-0.1294,0.0625,0.9924,1.003
0.388000,-0.1294,0.0605,0.9924,1.003
0.389000,-0.1304,0.0615,0.9914,1.002
0.390000,-0.1294,0.0625,0.9875,0.998
0.390000,-0.1314,0.0605,0.9885,0.999
0.392000,-0.1333,0.0595,0.9904,1.001
0.394000,-0.1343,0.0547,0.9904,1.001
0.396000,-0.1372,0.0576,0.9894,1.001
0.399000,-0.1411,0.0527,0.9924,1.004
0.401000,-0.1411,0.0547,0.9943,1.006
0.404000,-0.1431,0.0547,0.9924,1.004
0.406000,-0.1431,0.0537,0.9963,1.008
0.409000,-0.1421,0.0556,1.0021,1.014
0.412000,-0.1431,0.0566,1.0060,1.018
0.414000,-0.1421,0.0586,1.0041,1.016
0.416000,-0.1411,0.0615,1.0041,1.016
0.421000,-0.1372,0.0654,1.0060,1.017
0.422000,-0.1392,0.0664,1.0099,1.022
0.424000,-0.1353,0.0654,1.0109,1.022
0.426000,-0.1333,0.0664,1.0070,1.018
0.429000,-0.1333,0.0683,1.0060,1.017
0.431000,-0.1284,0.0674,1.0080,1.018
0.433000,-0.1294,0.0693,1.0109,1.022
0.437000,-0.1284,0.0693,1.0129,1.023
0.442000,-0.1255,0.0713,1.0178,1.028
0.442000,-0.1255,0.0703,1.0119,1.022
0.444000,-0.1177,0.0693,1.0109,1.020
0.446000,-0.1235,0.0664,1.0099,1.020
0.449000,-0.1216,0.0664,1.0099,1.019
0.452000,-0.1196,0.0674,1.0080,1.017
0.455000,-0.1187,0.0654,1.0138,1.023
0.460000,-0.1187,0.0703,1.0070,1.016
0.461000,-0.1245,0.0683,1.0080,1.018
0.462000,-0.1274,0.0683,1.0021,1.013
0.464000,-0.1255,0.0654,1.0031,1.013
0.466000,-0.1235,0.0635,1.0051,1.015
0.474000,-0.1235,0.0586,1.0041,1.013
0.475000,-0.1245,0.0635,1.0051,1.015
0.475000,-0.1294,0.0635,1.0051,1.015
0.479000,-0.1343,0.0674,1.0070,1.018
0.480000,-0.1362,0.0664,1.0041,1.015
0.482000,-0.1431,0.0635,1.0041,1.016
0.484000,-0.1392,0.0683,1.0041,1.016
0.487000,-0.1421,0.0693,1.0051,1.017
0.488000,-0.1450,0.0732,1.0021,1.015
0.492000,-0.1401,0.0722,1.0031,1.015
0.493000,-0.1440,0.0732,1.0060,1.019
0.496000,-0.1450,0.0752,1.0070,1.020
0.499000,-0.1440,0.0761,1.0099,1.023
0.502000,-0.1450,0.0732,1.0031,1.016
0.503000,-0.1470,0.0761,1.0090,1.022
0.506000,-0.1470,0.0771,1.0070,1.021
0.508000,-0.1470,0.0752,1.0060,1.019
0.511000,-0.1499,0.0732,1.0070,1.021
0.514000,-0.1480,0.0810,1.0021,1.016
0.516000,-0.1440,0.0791,1.0109,1.024
0.520000,-0.1401,0.0781,1.0138,1.026
0.521000,-0.1401,0.0781,1.0109,1.024
0.524000,-0.1392,0.0771,1.0109,1.023
0.526000,-0.1372,0.0791,1.0129,1.025
0.530000,-0.1372,0.0791,1.0138,1.026
0.531000,-0.1362,0.0810,1.0109,1.023
0.533000,-0.1362,0.0810,1.0099,1.022
0.537000,-0.1382,0.0820,1.0070,1.020
0.538000,-0.1343,0.0830,1.0041,1.016
0.542000,-0.1343,0.0810,1.0051,1.017
0.544000,-0.1401,0.0830,1.0041,1.017
0.546000,-0.1372,0.0849,1.0031,1.016
0.549000,-0.1362,0.0849,1.0041,1.017
0.553000,-0.1392,0.0849,1.0031,1.016
0.554000,-0.1362,0.0820,1.0031,1.016
0.557000,-0.1353,0.0820,1.0012,1.014
0.559000,-0.1353,0.0810,1.0021,1.014
0.561000,-0.1372,0.0801,1.0031,1.016
0.563000,-0.1362,0.0801,1.0041,1.016
0.567000,-0.1372,0.0849,1.0051,1.018
0.571000,-0.1382,0.0879,1.0060,1.019
0.572000,-0.1362,0.0869,1.0070,1.020
0.574000,-0.1343,0.0869,1.0109,1.023
0.577000,-0.1343,0.0908,1.0119,1.025
0.578000,-0.1343,0.0898,1.0158,1.029
0.582000,-0.1411,0.0928,1.0138,1.028
0.583000,-0.1411,0.0937,1.0148,1.029
0.588000,-0.1401,0.0957,1.0138,1.028
0.588000,-0.1392,0.0957,1.0051,1.019
