time,gFx,gFy,gFz,TgF
0.007000,0.0571,-0.0039,1.0070,1.009
0.007000,0.0601,0.0058,0.9963,0.998
0.007000,0.0611,0.0127,0.9894,0.991
0.008000,0.0689,0.0107,0.9845,0.987
0.008000,0.0718,0.0068,0.9738,0.976
0.008000,0.0786,0.0029,0.9738,0.977
0.009000,0.0806,-0.0000,0.9728,0.976
0.015000,0.0806,-0.0088,0.9719,0.975
0.016000,0.0855,-0.0147,0.9738,0.978
0.016000,0.0894,-0.0157,0.9767,0.981
0.017000,0.0982,-0.0225,0.9797,0.985
0.035000,0.1060,-0.0205,0.9816,0.988
0.036000,0.1089,-0.0235,0.9787,0.985
0.036000,0.1138,-0.0235,0.9836,0.990
0.036000,0.1187,-0.0225,0.9865,0.994
0.037000,0.1216,-0.0196,0.9865,0.994
0.037000,0.1236,-0.0205,0.9885,0.996
0.037000,0.1275,-0.0137,0.9875,0.996
0.038000,0.1265,-0.0117,0.9875,0.996
0.041000,0.1265,-0.0108,0.9875,0.996
0.043000,0.1265,-0.0078,0.9865,0.995
0.046000,0.1206,-0.0127,0.9894,0.997
0.047000,0.1177,-0.0117,0.9953,1.002
0.050000,0.1167,-0.0108,0.9894,0.996
0.052000,0.1177,-0.0069,0.9904,0.997
0.056000,0.1187,-0.0049,0.9885,0.996
0.057000,0.1206,-0.0049,0.9953,1.003
0.060000,0.1216,-0.0039,0.9972,1.005
0.062000,0.1265,-0.0010,1.0060,1.014
0.065000,0.1275,0.0019,1.0099,1.018
0.067000,0.1304,-0.0030,1.0178,1.026
0.070000,0.1294,-0.0010,1.0168,1.025
0.073000,0.1265,0.0009,1.0119,1.020
0.074000,0.1206,0.0019,1.0099,1.017
0.078000,0.1079,0.0009,1.0119,1.018
0.079000,0.0972,-0.0000,1.0041,1.009
0.082000,0.0855,-0.0030,0.9982,1.002
0.085000,0.0767,-0.0049,0.9816,0.985
0.087000,0.0669,-0.0108,0.9689,0.971
0.090000,0.0581,-0.0137,0.9582,0.960
0.093000,0.0532,-0.0186,0.9435,0.945
0.095000,0.0444,-0.0235,0.9367,0.938
0.098000,0.0454,-0.0235,0.9328,0.934
0.100000,0.0444,-0.0235,0.9347,0.936
0.102000,0.0357,-0.0205,0.9416,0.942
0.106000,0.0357,-0.0196,0.9474,0.948
0.107000,0.0366,-0.0186,0.9552,0.956
0.110000,0.0366,-0.0176,0.9640,0.965
0.113000,0.0376,-0.0157,0.9738,0.975
0.115000,0.0435,-0.0147,0.9855,0.987
0.118000,0.0474,-0.0137,0.9924,0.994
0.120000,0.0523,-0.0127,1.0002,1.002
0.133000,0.0581,-0.0108,1.0051,1.007
