time,gFx,gFy,gFz,TgF
0.006000,-0.0366,0.0840,1.0197,1.024
0.007000,-0.0386,0.0840,1.0324,1.037
0.007000,-0.0415,0.0830,1.0441,1.048
0.007000,-0.0425,0.0810,1.0500,1.054
0.008000,-0.0435,0.0781,1.0549,1.059
0.008000,-0.0513,0.0771,1.0627,1.067
0.008000,-0.0513,0.0683,1.0617,1.065
0.008000,-0.0522,0.0615,1.0627,1.066
0.009000,-0.0493,0.0556,1.0549,1.057
0.009000,-0.0483,0.0537,1.0539,1.056
0.009000,-0.0444,0.0517,1.0549,1.057
0.010000,-0.0415,0.0498,1.0549,1.057
0.014000,-0.0376,0.0508,1.0568,1.059
0.015000,-0.0327,0.0459,1.0549,1.056
0.017000,-0.0317,0.0449,1.0519,1.053
0.020000,-0.0298,0.0488,1.0471,1.049
0.022000,-0.0278,0.0508,1.0412,1.043
0.024000,-0.0268,0.0537,1.0412,1.043
0.027000,-0.0268,0.0556,1.0363,1.038
0.040000,-0.0259,0.0605,1.0314,1.034
0.041000,-0.0259,0.0615,1.0236,1.026
0.041000,-0.0268,0.0625,1.0207,1.023
0.042000,-0.0249,0.0674,1.0109,1.013
0.042000,-0.0249,0.0703,1.0002,1.003
0.042000,-0.0220,0.0703,0.9953,0.998
0.045000,-0.0210,0.0693,0.9855,0.988
0.048000,-0.0259,0.0771,0.9787,0.982
0.049000,-0.0249,0.0781,0.9767,0.980
0.052000,-0.0239,0.0781,0.9719,0.975
0.055000,-0.0288,0.0781,0.9670,0.971
0.057000,-0.0317,0.0820,0.9679,0.972
0.059000,-0.0395,0.0801,0.9689,0.973
0.071000,-0.0454,0.0752,0.9670,0.971
0.072000,-0.0493,0.0742,0.9689,0.973
0.072000,-0.0493,0.0761,0.9660,0.970
0.072000,-0.0483,0.0830,0.9699,0.975
0.072000,-0.0513,0.0849,0.9689,0.974
0.075000,-0.0522,0.0849,0.9777,0.983
0.077000,-0.0542,0.0840,0.9826,0.988
0.079000,-0.0591,0.0840,0.9933,0.999
0.082000,-0.0561,0.0810,1.0012,1.006
0.084000,-0.0591,0.0820,1.0060,1.011
0.089000,-0.0542,0.0840,1.0099,1.015
0.090000,-0.0493,0.0840,1.0109,1.016
0.092000,-0.0493,0.0761,1.0138,1.018
0.096000,-0.0435,0.0761,1.0187,1.022
0.097000,-0.0415,0.0722,1.0158,1.019
0.099000,-0.0395,0.0742,1.0178,1.021
0.102000,-0.0366,0.0752,1.0217,1.025
0.104000,-0.0337,0.0722,1.0275,1.031
0.107000,-0.0288,0.0722,1.0236,1.027
0.109000,-0.0278,0.0644,1.0314,1.034
0.113000,-0.0278,0.0635,1.0353,1.038
0.118000,-0.0249,0.0615,1.0353,1.037
0.118000,-0.0229,0.0635,1.0392,1.041
0.121000,-0.0210,0.0615,1.0383,1.040
0.122000,-0.0190,0.0595,1.0363,1.038
0.124000,-0.0200,0.0635,1.0353,1.037
0.129000,-0.0190,0.0586,1.0295,1.031
0.130000,-0.0210,0.0605,1.0285,1.030
0.132000,-0.0220,0.0566,1.0256,1.027
0.135000,-0.0220,0.0595,1.0197,1.022
0.137000,-0.0210,0.0615,1.0168,1.019
0.140000,-0.0229,0.0576,1.0158,1.018
0.142000,-0.0259,0.0556,1.0148,1.017
0.146000,-0.0268,0.0556,1.0129,1.015
0.146000,-0.0288,0.0595,1.0168,1.019
0.149000,-0.0288,0.0635,1.0109,1.013
0.152000,-0.0327,0.0605,1.0129,1.015
0.154000,-0.0317,0.0683,1.0090,1.012
0.157000,-0.0308,0.0664,1.0070,1.010
0.162000,-0.0268,0.0713,1.0021,1.005
0.163000,-0.0288,0.0732,1.0051,1.008
0.164000,-0.0298,0.0732,1.0012,1.004
0.167000,-0.0308,0.0732,0.9992,1.002
0.169000,-0.0317,0.0752,0.9972,1.001
0.172000,-0.0327,0.0742,0.9924,0.996
0.174000,-0.0337,0.0742,0.9894,0.993
0.187000,-0.0347,0.0713,0.9904,0.994
0.188000,-0.0347,0.0693,0.9885,0.991
0.188000,-0.0337,0.0713,0.9885,0.992
0.189000,-0.0347,0.0683,0.9855,0.988
0.189000,-0.0347,0.0683,0.9845,0.988
0.189000,-0.0347,0.0693,0.9816,0.985
0.192000,-0.0356,0.0654,0.9816,0.984
0.195000,-0.0366,0.0664,0.9806,0.984
0.197000,-0.0347,0.0713,0.9836,0.987
0.199000,-0.0337,0.0654,0.9885,0.991
0.203000,-0.0337,0.0703,0.9933,0.996
0.204000,-0.0268,0.0722,0.9963,0.999
0.207000,-0.0239,0.0771,1.0080,1.011
0.209000,-0.0200,0.0771,1.0080,1.011
0.212000,-0.0220,0.0752,1.0119,1.015
0.214000,-0.0249,0.0674,1.0207,1.023
0.217000,-0.0288,0.0644,1.0275,1.030
0.220000,-0.0347,0.0595,1.0295,1.032
0.221000,-0.0337,0.0605,1.0295,1.032
0.224000,-0.0317,0.0576,1.0295,1.032
0.229000,-0.0317,0.0586,1.0344,1.037
0.229000,-0.0288,0.0605,1.0314,1.034
0.232000,-0.0268,0.0625,1.0353,1.038
0.234000,-0.0259,0.0615,1.0305,1.033
0.237000,-0.0229,0.0683,1.0285,1.031
0.239000,-0.0220,0.0683,1.0236,1.026
0.242000,-0.0229,0.0722,1.0158,1.019
0.246000,-0.0200,0.0713,1.0099,1.013
0.247000,-0.0239,0.0693,1.0090,1.012
0.249000,-0.0278,0.0664,0.9992,1.002
0.255000,-0.0298,0.0664,0.9972,1.000
0.256000,-0.0308,0.0674,0.9904,0.993
0.257000,-0.0317,0.0644,0.9885,0.991
0.260000,-0.0327,0.0635,0.9875,0.990
0.263000,-0.0308,0.0674,0.9875,0.990
0.264000,-0.0278,0.0722,0.9777,0.981
0.267000,-0.0278,0.0732,0.9767,0.980
0.269000,-0.0298,0.0732,0.9738,0.977
0.271000,-0.0308,0.0732,0.9699,0.973
0.275000,-0.0337,0.0664,0.9689,0.972
0.279000,-0.0386,0.0674,0.9699,0.973
0.280000,-0.0405,0.0644,0.9728,0.976
0.281000,-0.0405,0.0635,0.9728,0.976
0.284000,-0.0376,0.0644,0.9806,0.983
0.287000,-0.0386,0.0635,0.9797,0.982
0.290000,-0.0376,0.0664,0.9836,0.987
0.292000,-0.0376,0.0635,0.9855,0.988
0.296000,-0.0366,0.0644,0.9894,0.992
0.297000,-0.0395,0.0644,0.9885,0.991
0.299000,-0.0386,0.0654,0.9933,0.996
0.304000,-0.0376,0.0674,0.9953,0.998
0.305000,-0.0386,0.0664,0.9972,1.000
0.306000,-0.0405,0.0664,0.9972,1.000
0.309000,-0.0415,0.0644,0.9992,1.002
0.320000,-0.0425,0.0635,1.0021,1.005
0.320000,-0.0425,0.0615,1.0090,1.012
0.321000,-0.0405,0.0605,1.0109,1.014
0.321000,-0.0405,0.0595,1.0109,1.013
0.321000,-0.0376,0.0595,1.0187,1.021
0.324000,-0.0327,0.0615,1.0148,1.017
0.328000,-0.0278,0.0615,1.0187,1.021
0.329000,-0.0259,0.0595,1.0168,1.019
0.331000,-0.0249,0.0586,1.0178,1.020
0.336000,-0.0220,0.0625,1.0168,1.019
0.340000,-0.0171,0.0605,1.0178,1.020
0.340000,-0.0200,0.0625,1.0178,1.020
0.341000,-0.0161,0.0644,1.0129,1.015
0.345000,-0.0171,0.0644,1.0138,1.016
0.346000,-0.0151,0.0635,1.0178,1.020
0.349000,-0.0142,0.0654,1.0129,1.015
0.353000,-0.0122,0.0654,1.0168,1.019
0.354000,-0.0171,0.0664,1.0148,1.017
0.357000,-0.0200,0.0674,1.0109,1.013
0.359000,-0.0200,0.0644,1.0099,1.012
0.362000,-0.0229,0.0654,1.0070,1.009
0.364000,-0.0268,0.0674,1.0070,1.010
0.366000,-0.0259,0.0615,1.0051,1.007
0.369000,-0.0317,0.0595,1.0002,1.002
0.371000,-0.0356,0.0605,0.9982,1.001
0.374000,-0.0356,0.0576,0.9943,0.997
0.378000,-0.0386,0.0547,0.9943,0.997
0.380000,-0.0376,0.0586,0.9924,0.995
0.381000,-0.0366,0.0625,0.9885,0.991
0.384000,-0.0366,0.0654,0.9894,0.992
0.386000,-0.0376,0.0693,0.9836,0.987
0.389000,-0.0454,0.0664,0.9885,0.992
0.391000,-0.0503,0.0674,0.9894,0.993
0.395000,-0.0552,0.0683,0.9914,0.995
0.396000,-0.0591,0.0664,0.9924,0.996
0.399000,-0.0620,0.0644,0.9943,0.998
0.401000,-0.0571,0.0674,0.9914,0.995
0.404000,-0.0542,0.0713,0.9963,1.000
0.406000,-0.0493,0.0703,0.9953,0.999
0.409000,-0.0513,0.0713,0.9943,0.998
0.411000,-0.0483,0.0713,0.9963,1.000
0.414000,-0.0464,0.0722,0.9953,0.999
0.417000,-0.0444,0.0674,0.9943,0.998
0.420000,-0.0425,0.0713,0.9953,0.999
0.421000,-0.0405,0.0664,0.9943,0.997
0.424000,-0.0366,0.0664,0.9972,1.000
0.426000,-0.0356,0.0713,0.9972,1.000
0.432000,-0.0337,0.0703,0.9982,1.001
0.433000,-0.0298,0.0713,1.0002,1.003
0.437000,-0.0327,0.0713,1.0041,1.007
0.437000,-0.0317,0.0703,1.0021,1.005
0.439000,-0.0327,0.0722,1.0041,1.007
0.441000,-0.0356,0.0674,1.0119,1.015
0.445000,-0.0327,0.0693,1.0129,1.016
0.446000,-0.0288,0.0703,1.0041,1.007
0.449000,-0.0259,0.0761,1.0031,1.006
